id,name,count
572,ANTOCH,33
573,ANTOCHOVÁ,33
574,ANTOL,25
575,ANTOLÁK,18
576,ANTOLÁKOVÁ,14
577,ANTOLÍK,15
578,ANTOLÍKOVÁ,16
579,ANTOLOVÁ,27
580,ANTON,215
581,ANTONČÍK,18
582,ANTONČÍKOVÁ,18
583,ANTONI,65
584,ANTONIAZI,24
585,ANTONICKÁ,38
586,ANTONICKÝ,32
587,ANTONIOVÁ,38
588,ANTONÍČEK,50
589,ANTONÍČKOVÁ,49
590,ANTONÍN,266
591,ANTONÍNOVÁ,267
592,ANTONOV,28
593,ANTONOVA,12
594,ANTONOVÁ,242
595,ANTONOVIČ,31
596,ANTONOVIČOVÁ,31
597,ANTONOVOVÁ,15
598,ANTONŮ,69
599,ANTONY,127
600,ANTONYOVÁ,93
601,ANTOŇ,78
602,ANTOŇOVÁ,76
603,ANTOŇŮ,131
604,ANTOSZYKOVÁ,15
605,ANTOŠ,1480
606,ANTOŠÍK,51
607,ANTOŠÍKOVÁ,57
608,ANTOŠKOVÁ,28
609,ANTOŠOVÁ,1534
610,ANTOŠOVSKÁ,28
611,ANTOŠOVSKÝ,19
612,ANTROPIUS,58
613,ANTROPIUSOVÁ,72
614,ANTUŠ,36
615,ANTUŠEK,47
616,ANTUŠKOVÁ,48
617,ANTUŠOVÁ,46
618,ANYALAI,36
619,ANYALAIOVÁ,28
620,ANÝŽ,164
621,ANÝŽOVÁ,183
622,APAČOVÁ,12
623,APELTAUER,75
624,APELTAUEROVÁ,74
625,APETAUER,13
626,APETAUEROVÁ,10
627,APFELTHALER,44
628,APFELTHALEROVÁ,37
629,APJAR,10
630,APJAROVÁ,12
631,APJÁR,17
632,APJÁROVÁ,21
633,APKO,17
634,APKOVÁ,12
635,APL,25
636,APLOVÁ,17
637,APLT,30
638,APLTAUER,57
639,APLTAUEROVÁ,58
640,APLTOVÁ,27
641,APOLEN,11
642,APOLENÁŘ,44
643,APOLENÁŘOVÁ,35
644,APOLENOVÁ,16
645,APOLÍN,35
646,APOLÍNOVÁ,36
647,APOSTOLOV,10
648,APOSTOLOVA,10
649,APOŠTOL,26
650,APOŠTOLOVÁ,34
651,APPEL,59
652,APPELOVÁ,53
653,APPELT,80
654,APPELTAUER,13
655,APPELTAUEROVÁ,16
656,APPELTOVÁ,88
657,APPL,102
658,APPLOVÁ,131
659,APRUZZESE,10
660,APT,14
661,APTOVÁ,10
662,ARABASZ,25
663,ARABASZOVÁ,25
664,ARANYOSI,10
665,ARAZIM,93
666,ARAZIMOVÁ,81
667,ARBAN,22
668,ARBANOVÁ,24
669,ARBEIT,33
670,ARBEITOVÁ,23
671,ARBELOVSKÁ,10
672,ARBELOVSKÝ,11
673,ARBESOVÁ,10
674,ARBET,13
675,ARBETOVÁ,14
676,ARBTER,19
677,ARBTEROVÁ,17
678,ARDELEANU,10
679,ARDELT,17
680,ARDELTOVÁ,18
681,ARDOLF,14
682,ARDOLFOVÁ,13
683,ARDÓ,10
684,ARENBERGER,18
685,ARENBERGEROVÁ,22
686,ARENDÁŠ,26
687,ARENDÁŠOVÁ,22
688,ARGALÁŠ,37
689,ARGALÁŠOVÁ,48
690,ARGMANNOVÁ,13
691,ARCHALOUS,27
692,ARCHALOUSOVÁ,27
693,ARCHLEB,41
694,ARCHLEBOVÁ,44
695,ARCHMAN,69
696,ARCHMANN,23
697,ARCHMANNOVÁ,23
698,ARCHMANOVÁ,71
699,ARIENT,42
700,ARIENTOVÁ,51
701,ARLET,17
702,ARLETH,31
703,ARLETHOVÁ,23
704,ARLETOVÁ,24
705,ARLT,80
706,ARLTOVÁ,70
707,ARMLICH,24
708,ARMLICHOVÁ,20
709,ARMSTARK,30
710,ARMSTARKOVÁ,25
711,ARMSTRONG,12
712,ARNDT,21
713,ARNDTOVÁ,12
714,ARNET,45
715,ARNETOVÁ,44
716,ARNICAN,16
717,ARNICANOVÁ,20
718,ARNOLD,226
719,ARNOLDOVÁ,203
720,ARNOLT,40
721,ARNOLTOVÁ,31
722,ARNOŠ,22
723,ARNOŠOVÁ,29
724,ARNOŠT,288
725,ARNOŠTOVÁ,281
726,ARNOT,10
727,ARNOTOVÁ,10
728,ARNSTEIN,11
729,ARON,156
730,ARONOVÁ,160
731,ARPÁŠ,28
732,ARPÁŠOVÁ,31
733,ARSENJEV,10
734,ARSENJEVOVÁ,12
735,ARSLAN,11
736,ARTIM,30
737,ARTIMOVÁ,27
738,ARTL,20
739,ARTLOVÁ,27
740,ARTNER,11
741,ARUTJUNOVÁ,10
742,ARVAI,24
743,ARVAIOVÁ,18
744,ARVAJ,10
745,ARVAJOVÁ,14
746,ARVAY,20
747,ARVAYOVÁ,21
748,ARVENSIS,11
749,ARZT,11
750,ASCHENBRENER,10
751,ASCHENBRENEROVÁ,10
752,ASCHENBRENNER,155
753,ASCHENBRENNEROVÁ,151
754,ASCHER,28
755,ASCHERL,20
756,ASCHERLOVÁ,17
757,ASCHERMANN,13
758,ASCHERMANNOVÁ,15
759,ASCHEROVÁ,18
760,ASMAN,12
761,ASMANOVÁ,15
762,ASNÍK,25
763,ASNÍKOVÁ,28
764,ASSMANN,22
765,ASSMANNOVÁ,26
766,ASSZONYI,14
767,ASTALOŠ,66
768,ASTALOŠOVÁ,80
769,ASTER,48
770,ASTEROVÁ,43
771,ASTL,14
772,ASTLOVÁ,22
773,ASTR,28
774,ASTROVÁ,30
775,ASZTALOS,16
776,ASZTALOSOVÁ,11
777,AŠENBRENER,26
778,AŠENBRENEROVÁ,30
779,AŠENBRENNER,16
780,AŠENBRENNEROVÁ,18
781,AŠENBRYL,19
782,AŠENBRYLOVÁ,17
783,AŠER,28
784,AŠEROVÁ,29
785,AŠKA,21
786,AŠKOVÁ,22
787,ATANASIADIS,10
788,ATANASOV,51
789,ATANASOVA,14
790,ATANASOVÁ,15
791,ATANASOVOVÁ,19
792,ATASSI,30
793,ATEXINGER,16
794,ATEXINGEROVÁ,12
795,ATIE,10
796,ATTL,30
797,ATTLOVÁ,31
798,AUBRECHT,465
799,AUBRECHTOVÁ,506
800,AUBUS,41
801,AUBUSOVÁ,38
802,AUDA,56
803,AUDES,24
804,AUDESOVÁ,23
805,AUDOVÁ,66
806,AUDRLICKÁ,21
807,AUDRLICKÝ,34
808,AUDY,187
809,AUDYOVÁ,133
810,AUER,173
811,AUEROVÁ,178
812,AUERSVALD,42
813,AUERSVALDOVÁ,34
814,AUERSWALD,16
815,AUERSWALDOVÁ,14
816,AUERVEK,20
817,AUERVEKOVÁ,18
818,AUF,28
819,AUFART,16
820,AUFARTOVÁ,10
821,AUFOVÁ,27
822,AUGSBERGER,14
823,AUGSBERGEROVÁ,14
824,AUGSTE,13
825,AUGSTEN,47
826,AUGSTENOVÁ,48
827,AUGSTOVÁ,13
828,AUGUST,13
829,AUGUSTA,327
830,AUGUSTIN,593
831,AUGUSTINOVÁ,624
832,AUGUSTÍN,80
833,AUGUSTÍNOVÁ,83
834,AUGUSTOVÁ,366
835,AUGUSTOVIČ,13
836,AUGUSTOVIČOVÁ,15
837,AUGUSTYNEK,13
838,AUGUSTYNKOVÁ,14
839,AUGUSTÝN,40
840,AUGUSTÝNEK,21
841,AUGUSTÝNKOVÁ,26
842,AUGUSTÝNOVÁ,33
843,AUINGER,16
844,AUINGEROVÁ,12
845,AUJESKÁ,94
846,AUJESKÝ,80
847,AUJEZDECKÁ,21
848,AUJEZDECKÝ,19
849,AUJEZDSKÁ,83
850,AUJEZDSKÝ,71
851,AUL,18
852,AULEHLA,40
853,AULEHLOVÁ,53
854,AULICKÁ,154
855,AULICKÝ,139
